sentence,correct option,incorrect 1,incorrect 2,incorrect 3,incorrect 4,Transaltion
Tu ----- aahe,bondhu,bondhu,bondhu,bondhu,,bondhu
Tu ----- aahe,bondhu,bondhu,bondhu,bondhu,,bondhu
Tu ----- aahe,bondhu,bondhu,bondhu,bondhu,,bondhu
Ti ----- Ithe,Aahe,Kripaya,Ho,Kaay,Kasa,She is here
Maazha Naav Boller -----,Aahe,Tu,Tyala,Aseh,Ksamasva,My name is boller
Te Navara ----- Aahe,Baiko,Baba,Soon,Bhacha,Bahin,They are husband and wife
Maajhi ----- Madad Karte,Sasu,Saasara,Bhaacha,Ajoba,Bhau,My mother in law helps me
Ti Maajhi ----- Aahe.,Didi,Dada,Bhau,Baba,Naate vaik,She is my elder sister
Maajha ----- Shalaat Aahe,Bhau,Bahin,Ajoba,Baiko,Saasu,My brother is in school
Ti Maajhi ----- Aahe.,Aai,Vadil,Baba,Navra,Mulga,She is my mother
Doodh ----- Aahe ,Pandhra,Naarangi,Laal,Jaambla,Taapkiri,Milk is white
Maazha Janmvadivas August ----- Aahe,Mahina,Varsha,Decade,century,Athavada,My birth month is august
To ----- bolto,Nehami,Vel,maasik,ghadi,Nantar,He always speaks
#NAME?,saaptahik,Kadhi,Ghadi,Sakaal,Atta,weekly market is today
dongaravar ----- padto,him,Chandra,Surya,dhag,Ritu,Snow falls on mountain
#NAME?,Surya,Surya,Chandra,Dhag,Paaus,Sun is yellow
mi ----- ne pravas karto,railgaadi,Vahatuk,Sanket,Railgaadi,Vimaan,I travel in train
#NAME?,vimaan,Vimaan,Jahaaj,railgaadi,bus,Flight flies in sky
dupaari ----- peenar,chaha,Dal,Meeth,saakhar,chaha,Drink tea in afternoon
table var ----- aahe,chamcha,paani,tahaan,bhook,chav,spoon is on table
raatrache ----- taiayaar aahe,jevan,paani,rassa,dal,kaatya,Night's dinner is ready
Naashta ----- aahe,goad,Meeth,kambdi,anda maashe,Thikat,breakfast is sweet
Maajhi ----- haravli,chaavi,Baalti,Parda,Gate,Chaavi,I lost my key
Unhalayat ----- garam asta,chhat,Daar,Balti,Chaavi,Kholi,Terrace is hot during summer
Mi ----- chaalto,Darroj,darroj,anek,duppat,tippat,I walk multiple
#NAME?,anek,Sarva,Dar,Anek,Ardha,multiple students are ready
Jevana saathi bhaatach ----- pramaan ghya,purese,duppat,Anek,kaahihi naahi,Purese,Take enough quantity of rice for dinner
Vimantal javal hotel ----- aahe,mahaag,mahaag,Sopa,Avaghad,garam,hotel near airport is expensive
Hivalayat paani ----- aahe,juna,thand,garam,mahaag,juna,during snowfall water is old
