sentence,translation
We love all animals,Aapan sarva pranyavar prem karto
We love all animals,Aapan sarva pranyavar prem karto
We love all animals,Aapan sarva pranyavar prem karto
We love all animals,Aapan sarva pranyavar prem karto
Tuzha Vay Kaay Aahe,what is your age
Tuzha Naav Boller Aahe,your name is boller
Namaskar Tu Ithe Aahe,Hi you are here
Tuzha Vay Kaay Aahe,What is your age
Tuzha Naav Kaay Aahe,What is your name
Aamhi Kshamasava,I am sorry
Tuzha Naav Kaay Aahe,What is your name
Te Navara Baiko Aahe,They are husband and wife
Maajhi Ajji Ek Goshta Saangte,My grandmother tells a story
Maajhe Naate Vaik Aahe Ithe,My relatives are here
Ti Maajhi Soon Aahe,She is my daughter in law
Maaajha Kutumba Aahe Ithe,My family is here
Maajhi Bahin Ghari Aahe,My sister is home
Aamchi Aai Jevan Banavte,Our mother cooks dinner
Ha Shirt Neela Aahe,This shirt is blue
Maajha Pishvi Tapkiri Aahe,My bag is brown
Sandhyakaali Akash Naarangi Aahe,Evening sky is orange
Mi udya yenar,I will come tomorrow
Me aaz kharidi karnaar,I will shop today
aaz ajji ghari aahe,grandmother is at home today
udya baba ghari ashnar,tomorrow father will be at home
saaptahik bazaar kaal hota,weekly market was yesterday
Udupi madhe paaus kasa aahe,how is rain in udupi
Unahalayat taapman garam asta,During summer the temperature is high
Aaz sakal anandadaayi aahe,it is a pleasant morning
Aaz akashat dhag aahet,Today the sky is cloudy
Udya me gaadi chalavnar,I will drive the car tomorrow
cycle lavakar chalav,cycle faster
aazcha prvas anandadayak aahe,today's travel is pleasant
roti garam aahe,roti is hot
taat swaccha aahe,plate is clean
Hivalayat aamhi garam soup peeto,During winter we drink hot soup
Kulup mazboot aahe,lock is strong
Aamche naatevaik udya ghari yenar aahet,our relatives will come to home tomorrow
Tine ardha safarchand khall,she had half an apple
Pariksha sopa hota,exam was easy
Chhat ghan aahe,terrace is dirty
Maajhi aai changla jevan banavate,my mother cooks good food
Akashaat indradhanush sundar disto,rainbow in the sky looks beautiful
